url,reason,status_code
https://cs.illinois.edu/about/people/all-faculty/gokhan,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/twidale,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/luthert,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/varshney,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/deepakv,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/vmahesh,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/yvlasov,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/dwang24,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/gangw,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/wangge,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/haohanw,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/shaowen,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/shenlong,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/yvw,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/yxw,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/warnow,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/tiffani,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/winslett,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/mwoodley,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/arwool,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/lxing2,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/tyxu,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/xyz,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/fyy,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/jiaxuan,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/yuanwz,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/czhai,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/huanz,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/lingming,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/minjiaz,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/tozhang,request_error:ConnectionError,
https://cs.illinois.edu/about/people/all-faculty/zhangyp,request_error:ConnectionError,
https://ece.illinois.edu/about/directory/faculty/itabrah2,request_error:ConnectionError,
